Sl,Train_no,Name,Type,Off_day,Origin,Departure,Destination,Arrival,Zone
1,701,Subarna,Express,Friday,Chittagong,7:00,Dhaka,12:40,East
2,702,Subarna,Express,Friday,Dhaka,15:00,Chittagong,20:30,East
3,703,Mohanagar Goduli,Express,No,Chittagong,15:00,Dhaka,22:15,East
4,704,Mohanagar Provati,Express,No,Dhaka,7:40,Chittagong,14:55,East
5,705,Ekota,Express,Tuesday,Dhaka,10:00,Dinajpur,19:45,East
6,706,Ekota,Express,Monday,Dinajpur,21:20,Dhaka,7:10,East
7,707,Tista,Express,Monday,Dhaka,7:20,Dewangong,12:45,East
8,708,Tista,Express,Monday,Dewangong,15:00,Dhaka,20:45,East
9,709,Parabat,Express,Tuesday,Dhaka,6:40,Sylhet,13:40,East
10,710,Parabat,Express,Tuesday,Sylhet,15:00,Dhaka,22:35,East
11,711,Upukol,Express,Wednesday,Noakhali,6:00,Dhaka,12:30,East
12,712,Upukol,Express,Tuesday,Dhaka,15:20,Noakhali,21:40,East
13,713,Karutoa,Express,No,Santahar,16:25,Borimari,22:30,East
14,714,Karutoa,Express,No,Borimari,17:00,Santahar,23:10,East
15,717,Joyantika,Express,No,Dhaka,12:00,Sylhet,19:45,East
16,718,Joyantika,Express,Thursday,Sylhet,8:40,Dhaka,16:20,East
17,719,Paharika,Express,Monday,Chittagong,8:45,Sylhet,18:00,East
18,720,Paharika,Express,Saturday,Sylhet,10:15,Chittagong,20:05,East
19,721,Mohanagar,Express,Sunday,Chittagong,12:30,Dhaka,19:30,East
20,722,Mohanagar,Express,Sunday,Dhaka,21:00,Chittagong,5:00,East
21,723,Uddayan,Express,Saturday,Chittagong,21:45,Sylhet,6:55,East
22,724,Uddayan,Express,Sunday,Sylhet,21:20,Chittagong,6:35,East
23,729,Meghna,Express,No,Chittagong,17:00,Chandpur,22:00,East
24,730,Meghna,Express,No,Chandpur,5:00,Chittagong,10:00,East
25,735,Agnibina,Express,No,Dhaka,9:40,Tarakandi,15:20,East
26,736,Agnibina,Express,No,Tarakandi,16:30,Dhaka,22:55,East
27,737,Egarosindhur Goduli,Express,Wednesday,Dhaka,7:00,Kisoregonj,11:00,East
28,738,Egarosindhur Goduli,Express,No,Kisoregonj,6:45,Dhaka,10:45,East
29,739,Upaban,Express,Wednesday,Dhaka,21:50,Sylhet,5:30,East
30,740,Upaban,Express,No,Sylhet,22:00,Dhaka,5:25,East
