Date,day, time,sender, invoked, type,Title
01-09-2024,Sunday,14:29,Airtel,No,offer,AirtelTune
01-09-2024,Sunday,20:28,Airtel,No,offer,AirtelTune
02-09-2024,Monday,10:43,Airtel,No,offer,AirtelTune
03-09-2024,Tuesday,13:15,Airtel,No,offer,AirtelTune
04-09-2024,Wednesday,12:24,Airtel,No,offer,AirtelTune
04-09-2024,Wednesday,17:45,Airtel,No,offer,AirtelTune
06-09-2024,Friday,6:21,Airtel,No,offer,AirtelTune
06-09-2024,Friday,11:14,Airtel,No,offer,AirtelTune
08-09-2024,Sunday,9:47,Airtel,No,offer,AirtelTune
08-09-2024,Sunday,11:49,Airtel,No,offer,AirtelTune
08-09-2024,Sunday,20:43,Airtel,No,offer,AirtelTune
09-09-2024,Monday,12:34,Airtel,No,offer,AirtelTune
02-09-2024,Monday,13:20,Govt,No,info,GovtInfo
06-09-2024,Friday,18:03,Govt,No,info,GovtInfo
02-09-2024,Monday,20:19,Airtel,No,info,Beshi_Kotha
04-09-2024,Wednesday,22:29,Airtel,No,info,Beshi_Kotha
05-09-2024,Thursday,14:15,Airtel,No,info,Beshi_Kotha
08-09-2024,Sunday,16:02,Airtel,No,info,Beshi_Kotha
09-09-2024,Monday,19:33,Airtel,No,info,Beshi_Kotha
01-09-2024,Sunday,19:10,Airtel,No,offer,AirtelOffer
02-09-2024,Monday,20:55,Airtel,No,offer,AirtelOffer
03-09-2024,Tuesday,10:20,Airtel,No,offer,AirtelOffer
04-09-2024,Wednesday,21:37,Airtel,No,offer,AirtelOffer
05-09-2024,Thursday,21:39,Airtel,No,offer,AirtelOffer
08-09-2024,Sunday,12:29,Airtel,No,offer,AirtelOffer
02-09-2024,Monday,18:21,Airtel,No,offer,AT_4GB@68TK
03-09-2024,Tuesday,13:26,Airtel,No,offer,AT_4GB@68TK
04-09-2024,Wednesday,18:07,Airtel,No,offer,AT_4GB@68TK
05-09-2024,Thursday,11:57,Airtel,No,offer,AT_4GB@68TK
07-09-2024,Saturday,10:55,Airtel,No,offer,AT_4GB@68TK
01-09-2024,Sunday,16:36,Airtel,No,offer,Super_Offer
01-09-2024,Sunday,16:40,Airtel,No,offer,Super_Offer
02-09-2024,Monday,17:20,Airtel,No,offer,Super_Offer
02-09-2024,Monday,17:20,Airtel,No,offer,Super_Offer
03-09-2024,Tuesday,16:46,Airtel,No,offer,Super_Offer
03-09-2024,Tuesday,16:47,Airtel,No,offer,Super_Offer
04-09-2024,Wednesday,17:56,Airtel,No,offer,Super_Offer
04-09-2024,Wednesday,17:57,Airtel,No,offer,Super_Offer
05-09-2024,Thursday,17:52,Airtel,No,offer,Super_Offer
05-09-2024,Thursday,17:53,Airtel,No,offer,Super_Offer
06-09-2024,Friday,17:11,Airtel,No,offer,Super_Offer
06-09-2024,Friday,17:12,Airtel,No,offer,Super_Offer
07-09-2024,Saturday,17:04,Airtel,No,offer,Super_Offer
07-09-2024,Saturday,17:05,Airtel,No,offer,Super_Offer
09-09-2024,Monday,17:23,Airtel,No,offer,Super_Offer
09-09-2024,Monday,17:27,Airtel,No,offer,Super_Offer
02-09-2024,Monday,8:53,Airtel,No,offer,Super Offer
04-09-2024,Wednesday,8:56,Airtel,No,offer,Super Offer
06-09-2024,Friday,8:48,Airtel,No,offer,Super Offer
07-09-2024,Saturday,7:14,Airtel,No,offer,Super Offer
09-09-2024,Monday,9:49,Airtel,No,offer,Super Offer
01-09-2024,Sunday,10:35,GP,Yes,callinfo,GP
02-09-2024,Monday,5:54,GP,Yes,callinfo,GP
02-09-2024,Monday,5:55,GP,Yes,callinfo,GP
03-09-2024,Tuesday,9:01,GP,Yes,callinfo,GP
06-09-2024,Friday,19:15,GP,Yes,callinfo,GP
07-09-2024,Saturday,5:59,GP,Yes,callinfo,GP
07-09-2024,Saturday,8:58,GP,Yes,callinfo,GP
08-09-2024,Sunday,8:14,GP,Yes,callinfo,GP
08-09-2024,Sunday,8:23,GP,Yes,callinfo,GP
09-09-2024,Monday,8:08,GP,Yes,callinfo,GP
09-09-2024,Monday,8:08,GP,Yes,callinfo,GP
02-09-2024,Monday,19:02,Airtel,No,offer,100% Bonus
03-09-2024,Tuesday,8:36,Airtel,No,offer,100% Bonus
04-09-2024,Wednesday,22:49,Airtel,No,offer,100% Bonus
05-09-2024,Thursday,20:27,Airtel,No,offer,100% Bonus
08-09-2024,Sunday,08:09,Airtel,No,offer,100% Bonus
08-09-2024,Sunday,10:16,Airtel,No,offer,100% Bonus
09-09-2024,Monday,11:23,Airtel,No,offer,100% Bonus
01-09-2024,Sunday,7:52,Airtel,No,offer,AT_18GB300M
02-09-2024,Monday,7:26,Airtel,No,offer,AT_18GB300M
03-09-2024,Tuesday,6:22,Airtel,No,offer,AT_18GB300M
04-09-2024,Wednesday,6:25,Airtel,No,offer,AT_18GB300M
05-09-2024,Thursday,6:31,Airtel,No,offer,AT_18GB300M
06-09-2024,Friday,6:26,Airtel,No,offer,AT_18GB300M
07-09-2024,Saturday,6:28,Airtel,No,offer,AT_18GB300M
08-09-2024,Sunday,6:11,Airtel,No,offer,AT_18GB300M
09-09-2024,Monday,7:15,Airtel,No,offer,AT_18GB300M
05-09-2024,Thursday,6:31,Airtel,No,offer,AT_7GB@98TK
06-09-2024,Friday,6:26,Airtel,No,offer,AT_7GB@98TK
07-09-2024,Saturday,6:34,Airtel,No,offer,AT_7GB@98TK
09-09-2024,Monday,6:26,Airtel,No,offer,AT_7GB@98TK
